team_name,trophies_won,championship_probability (%)
Portugal,8241,8.24
Spain,6595,6.59
Argentina,5924,5.92
Algeria,5109,5.11
Morocco,4985,4.98
France,4631,4.63
Austria,4188,4.19
Colombia,4150,4.15
South Korea,3732,3.73
Japan,3392,3.39
Tunisia,3200,3.2
Croatia,2697,2.7
Australia,2473,2.47
Belgium,2468,2.47
Switzerland,2466,2.47
Germany,2419,2.42
Mexico,2396,2.4
Senegal,2312,2.31
Iran,2148,2.15
Ivory Coast,2145,2.15
Uruguay,2061,2.06
England,1896,1.9
Brazil,1887,1.89
South Africa,1855,1.85
Ecuador,1725,1.73
Egypt,1631,1.63
United States,1507,1.51
Netherlands,1209,1.21
Canada,1200,1.2
Qatar,1191,1.19
Turkey,994,0.99
Paraguay,844,0.84
Uzbekistan,840,0.84
Jordan,779,0.78
Cape Verde,646,0.65
Iraq,611,0.61
Saudi Arabia,512,0.51
Norway,489,0.49
Panama,467,0.47
Scotland,417,0.42
Czech Republic,358,0.36
Sweden,329,0.33
Curaçao,298,0.3
New Zealand,183,0.18
DR Congo,174,0.17
Haiti,115,0.11
Bosnia and Herzegovina,64,0.06
Ghana,47,0.05
